timestamp,latitude,longitude,altitude,nic,nac_p,gpsOkBefore,callsign,aircraft_type,radio_horizon
4/8/2024 22:51,40.074726,34.653187,32000,0,0,0,TKJ6KL,B738,1157280.536
4/8/2024 22:53,36.955444,28.610561,10675,0,0,0,WUK2387,A21N,668417.1768
4/8/2024 22:56,41.105209,29.422729,9275,0,0,0,,A321,623046.7272
4/8/2024 22:59,37,31.2237,425,0,0,0,,B738,133369.9919
4/8/2024 23:00,33.818292,35.490818,18675,0,8,0,MEA429,A21N,884084.8841
4/8/2024 23:02,37.42337,27.456587,10075,0,0,0,EZY24AQ,A320,649360.9784
4/8/2024 23:03,36.378845,24.98354,15400,0,0,0,,A320,802830.7904
4/8/2024 23:03,41.370602,30.232628,27100,0,0,0,SXS9N,B738,1064996.806
4/8/2024 23:03,41.25571,39.680932,26575,6,9,0,THY9CL,A320,1054630.426
4/8/2024 23:05,35.035725,44.315872,33100,0,0,0,FBA222,B739,1177003.236
4/8/2024 23:06,33.73045,24.739723,34975,0,0,0,NOS646,B789,1209880.624
4/8/2024 23:12,34.670712,44.716644,23000,0,0,0,IAW106,B38M,981132.3101
4/8/2024 23:14,36.885201,30.805401,18075,0,0,0,,B38M,869766.7735
4/8/2024 23:17,35.494904,30.402317,39050,6,0,0,BAW312,A20N,1278421.833
4/8/2024 23:17,39.40416,34.278599,40025,0,0,0,THY8WX,B738,1294283.248
4/8/2024 23:18,33.709545,24.762039,36950,0,0,0,TAR6001,A20N,1243571.846
4/8/2024 23:21,33.701706,24.769966,36975,0,0,0,MSC502,A20N,1243992.469
4/8/2024 23:21,40.586848,36.46381,37000,0,0,0,ETD914,B77L,1244412.95
4/8/2024 23:26,38.3741,26.393543,18625,0,0,0,EXS6JM,B738,882900.5769
4/8/2024 23:29,38.815395,33.10498,31000,0,0,0,TKJ8CY,B738,1139054.507
4/8/2024 23:30,40.169815,28.013123,39025,0,0,0,SXS7WX,B38M,1278012.542
4/8/2024 23:30,39.698822,34.158108,37975,0,0,0,THY58T,A321,1260702.317
4/8/2024 23:32,36.470791,25.062912,38975,0,0,0,KQA117,B788,1277193.565
4/8/2024 23:33,39.59198,27.110794,38975,0,0,0,,A20N,1277193.565
